"","Proportions"
"Study 1",0.78
"Study 2",0.26
"Study 3",0.6
"Study 4",0.38
"Study 5",0.5
"Study 6",0.9
"Study 7",0.13
"Study 8",0.27
"Study 9",0.87
"Study 10",0.85
"Study 11",0.92
"Study 12",0.76
"Study 13",0.9
"Study 14",0.75
"Study 15",0.32
"Study 16",0.9
"Study 17",0.4
"Study 18",0.7
"Study 19",0.55
"Study 20",0.74
"Study 21",0.24
"Study 22",0.93
"Study 23",0.45
"Study 24",0.78
"Study 25",0.73
"Study 26",0.76
"Study 27",0.9
"Study 28",0.17
"Study 29",0.7
"Study 30",0.54
"Study 31",0.79
"Study 32",0.44
"Study 33",0.35
"Study 34",0.2
"Study 35",0.11
"Study 36",0.16
"Study 37",0.93
"Study 38",0.11
"Study 39",0.39
"Study 40",0.22
"Study 41",0.58
"Study 42",0.93
"Study 43",0.72
"Study 44",0.42
"Study 45",0.8
"Study 46",0.41
"Study 47",0.41
"Study 48",0.47
"Study 49",0.72
"Study 50",0.64
"Study 51",0.66
"Study 52",0.91
"Study 53",0.44
"Study 54",0.52
"Study 55",0.9
"Study 56",0.75
"Study 57",0.31
"Study 58",0.8
"Study 59",0.18
"Study 60",0.32
"Study 61",0.34
"Study 62",0.87
"Study 63",0.43
"Study 64",0.34
"Study 65",0.77
"Study 66",0.34
"Study 67",0.35
"Study 68",0.4
"Study 69",0.6
"Study 70",0.19
"Study 71",0.83
"Study 72",0.61
"Study 73",0.26
"Study 74",0.92
"Study 75",0.32
"Study 76",0.48
"Study 77",0.35
"Study 78",0.45
"Study 79",0.62
"Study 80",0.64
"Study 81",0.85
"Study 82",0.83
"Study 83",0.25
"Study 84",0.24
"Study 85",0.3
"Study 86",0.21
"Study 87",0.51
"Study 88",0.92
"Study 89",0.13
"Study 90",0.9
"Study 91",0.11
"Study 92",0.42
"Study 93",0.4
"Study 94",0.84
"Study 95",0.93
"Study 96",0.56
"Study 97",0.8
"Study 98",0.35
"Study 99",0.18
"Study 100",0.51
